id,Title,authorFirst,authorLast,Price,Avail,Cover,Condition,ImageURL,Tags,createdAt,updatedAt
1,Getting Everything You Can Out of All You've Got,Jay,Abraham,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81SOM0kcgdL.jpg,business,6/2/2019 21:12,6/2/2019 21:12
2,Speaking Up Without Freaking Out,Matt,Abrahams,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/5139YMLM4qL._SX355_BO1,204,203,200_.jpg",speaking,6/2/2019 21:12,6/2/2019 21:12
3,The Wall Street MBA,Reuben,Advani,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/513Fv0RriZL._SX332_BO1,204,203,200_.jpg",business,6/2/2019 21:12,6/2/2019 21:12
4,Getting Things Done,David,Allen,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81Sna4a0jPL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
5,Idea Man,Paul,Allen,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/91K-6mNlvRL.jpg,biography,6/2/2019 21:12,6/2/2019 21:12
6,The Credibility Code,Cara Hale,Alter,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41jb-ReFH%2BL._SX332_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
7,The Man Who Wasn't There,Anil,Ananthaswamy,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/51u6z6aG5yL.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
8,Feed,M. T.,Anderson,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51Ch8sDZ6BL._SX300_BO1,204,203,200_.jpg",fiction,6/2/2019 21:12,6/2/2019 21:12
9,"Think Like a Billionaire, Become a Billionaire",Scot,Anderson,2,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51Lqkh327qL._SX331_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
10,Modern Romance,Aziz,Ansari,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81p047toiVL.jpg,humor,6/2/2019 21:12,6/2/2019 21:12
11,It's Not How Good You Are; It's How Good You Want to Be,Paul,Arden,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51h6PJXKS%2BL._SX335_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
12,The Honest Truth About Dishonesty,Dan,Ariely,5,0,hard,,https://images.gr-assets.com/books/1331070373l/13426114.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
13,The Social Animal,Elliot,Aronson,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51QxvVOjrhL._SX329_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
14,The Answer,John,Assaraf,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81VNKegzYgL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
15,The Wealthy Speaker 2.0,Jane,Atkinson,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/5110LE7Y2oL._SX331_BO1,204,203,200_.jpg",speaking,6/2/2019 21:12,6/2/2019 21:12
